user_input,intent,source,user_input_clean,text_length,word_count,avg_word_length,exclamation_count,question_count,intent_encoded,cleaned_text,token_count,avg_token_length,has_question,has_exclamation,question_word_count,is_valid_length
 show me flights from milwaukee to orlando on wednesday after 6 pm,atis_flight,atis,show me flights from milwaukee to orlando on wednesday after pm,63,11,4.818181818181818,0,0,35,show I flight from milwaukee to orlando on wednesday after 6 pm,12,4.333333333333333,0,0,0,1
 very well i'm working on scenario three i'm interested in a flight on a 727 from washington dc to atlanta georgia,atis_flight,atis,very well im working on scenario three im interested in a flight on a from washington dc to atlanta georgia,107,20,4.4,0,0,35,very well I m work on scenario three I m interested in a flight on a 727 from washington dc to atlanta georgia,23,3.8260869565217392,0,0,0,1
 find me the latest return flight from atlanta to boston on the same day,atis_flight,atis,find me the latest return flight from atlanta to boston on the same day,71,14,4.142857142857143,0,0,35,find I the late return flight from atlanta to boston on the same day,14,3.9285714285714284,0,0,0,1
 show me the flights to love field from all other airports,atis_flight,atis,show me the flights to love field from all other airports,57,11,4.2727272727272725,0,0,35,show I the flight to love field from all other airport,11,4.0,0,0,0,1
 i need to know a list of flights from atlanta,atis_flight,atis,i need to know a list of flights from atlanta,45,10,3.6,0,0,35,I need to know a list of flight from atlanta,10,3.5,0,0,0,1
 what are the flights from new york city to las vegas,atis_flight,atis,what are the flights from new york city to las vegas,52,11,3.8181818181818175,0,0,35,what be the flight from new york city to las vegas,11,3.6363636363636362,0,0,1,1
What is my name?,CurrentHumanQuery,chatbots,what is my name,15,4,3.0,0,1,4,what be my name ?,5,2.6,1,0,1,1
 i would like to travel from denver to pittsburgh,atis_flight,atis,i would like to travel from denver to pittsburgh,48,9,4.444444444444445,0,0,35,I would like to travel from denver to pittsburgh,9,4.444444444444445,0,0,0,1
 show me the flights from boston to san francisco that arrive in the afternoon,atis_flight,atis,show me the flights from boston to san francisco that arrive in the afternoon,77,14,4.571428571428571,0,0,35,show I the flight from boston to san francisco that arrive in the afternoon,14,4.428571428571429,0,0,0,1
 show me flights from san francisco to denver after 4 pm,atis_flight,atis,show me flights from san francisco to denver after pm,53,10,4.4,0,0,35,show I flight from san francisco to denver after 4 pm,11,3.909090909090909,0,0,0,1
 find travel arrangements for a round trip flight from dallas to pittsburgh,atis_flight,atis,find travel arrangements for a round trip flight from dallas to pittsburgh,74,12,5.25,0,0,35,find travel arrangement for a round trip flight from dallas to pittsburgh,12,5.166666666666667,0,0,0,1
 what does the fare code y mean,atis_abbreviation,atis,what does the fare code y mean,30,7,3.4285714285714284,0,0,23,what do the fare code y mean,7,3.142857142857143,0,0,1,1
 what does s designate as a meal,atis_abbreviation,atis,what does s designate as a meal,31,7,3.571428571428572,0,0,23,what do s designate as a meal,7,3.2857142857142856,0,0,1,1
 i need to fly leaving philadelphia to atlanta,atis_flight,atis,i need to fly leaving philadelphia to atlanta,45,8,4.75,0,0,35,I need to fly leave philadelphia to atlanta,8,4.5,0,0,0,1
 i need to reverse the flight from pittsburgh to denver please,atis_flight,atis,i need to reverse the flight from pittsburgh to denver please,61,11,4.636363636363637,0,0,35,I need to reverse the flight from pittsburgh to denver please,11,4.636363636363637,0,0,0,1
 i need to fly from boston to denver on to san francisco and back,atis_flight,atis,i need to fly from boston to denver on to san francisco and back,64,14,3.642857142857143,0,0,35,I need to fly from boston to denver on to san francisco and back,14,3.642857142857143,0,0,0,1
 describe ground transportation in dallas,atis_ground_service,atis,describe ground transportation in dallas,40,5,7.2,0,0,40,describe ground transportation in dallas,5,7.2,0,0,0,1
 show me the airlines from love field,atis_airline,atis,show me the airlines from love field,36,7,4.285714285714286,0,0,28,show I the airline from love field,7,4.0,0,0,0,1
 what flights go from boston to atlanta,atis_flight,atis,what flights go from boston to atlanta,38,7,4.571428571428571,0,0,35,what flight go from boston to atlanta,7,4.428571428571429,0,0,1,1
Tell me your real name?,RealNameQuery,chatbots,tell me your real name,22,5,3.6,0,1,14,tell I your real name ?,6,3.0,1,0,0,1
 what is the fare going from baltimore to boston one way on november seventh,atis_airfare,atis,what is the fare going from baltimore to boston one way on november seventh,75,14,4.428571428571429,0,0,26,what be the fare go from baltimore to boston one way on november seventh,14,4.214285714285714,0,0,1,1
 what flights does delta have between dallas and denver,atis_flight,atis,what flights does delta have between dallas and denver,54,9,5.111111111111111,0,0,35,what flight do delta have between dallas and denver,9,4.777777777777778,0,0,1,1
 i want a flight departing from newark to los angeles that leaves in the morning,atis_flight,atis,i want a flight departing from newark to los angeles that leaves in the morning,79,15,4.333333333333333,0,0,35,I want a flight depart from newark to los angeles that leave in the morning,15,4.066666666666666,0,0,0,1
 show me all flights on southwest airlines from san diego to san francisco,atis_flight,atis,show me all flights on southwest airlines from san diego to san francisco,73,13,4.6923076923076925,0,0,35,show I all flight on southwest airline from san diego to san francisco,13,4.461538461538462,0,0,0,1
 i'd need information please on a flight from washington dc san francisco california,atis_flight,atis,id need information please on a flight from washington dc san francisco california,82,13,5.384615384615385,0,0,35,I d need information please on a flight from washington dc san francisco california,14,5.0,0,0,0,1
 please list am flights leaving san francisco boston,atis_flight,atis,please list am flights leaving san francisco boston,51,8,5.5,0,0,35,please list be flight leave san francisco boston,8,5.125,0,0,0,1
 flight from denver to salt lake city,atis_flight,atis,flight from denver to salt lake city,36,7,4.285714285714286,0,0,35,flight from denver to salt lake city,7,4.285714285714286,0,0,0,1
 where is mco,atis_city,atis,where is mco,12,3,3.333333333333333,0,0,33,where be mco,3,3.3333333333333335,0,0,1,1
 list the fares of midway airlines flights from boston to philadelphia,atis_airfare,atis,list the fares of midway airlines flights from boston to philadelphia,69,11,5.363636363636363,0,0,26,list the fare of midway airline flight from boston to philadelphia,11,5.090909090909091,0,0,0,1
What could I call you?,NameQuery,chatbots,what could i call you,21,5,3.4,0,1,10,what could I call you ?,6,3.0,1,0,1,1
 what is the latest flight from washington dc to denver,atis_flight,atis,what is the latest flight from washington dc to denver,54,10,4.5,0,0,35,what be the late flight from washington dc to denver,10,4.3,0,0,1,1
 what airlines flies out of atlanta,atis_airline,atis,what airlines flies out of atlanta,34,6,4.833333333333333,0,0,28,what airline fly out of atlanta,6,4.333333333333333,0,0,1,1
 what are all flights from pittsburgh to boston on wednesdays,atis_flight,atis,what are all flights from pittsburgh to boston on wednesdays,60,10,5.1,0,0,35,what be all flight from pittsburgh to boston on wednesday,10,4.8,0,0,1,1
 list all flights arriving in pittsburgh monday evening from san francisco that first class,atis_flight,atis,list all flights arriving in pittsburgh monday evening from san francisco that first class,90,14,5.5,0,0,35,list all flight arrive in pittsburgh monday evening from san francisco that first class,14,5.285714285714286,0,0,0,1
 what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis,atis_flight,atis,what are my choices of flights to get from charlotte to minneapolis arriving about pm in minneapolis,100,17,4.941176470588236,0,0,35,what be my choice of flight to get from charlotte to minneapolis arrive about 7 pm in minneapolis,18,4.444444444444445,0,0,1,1
 show me flights from pittsburgh to atlanta on monday afternoon,atis_flight,atis,show me flights from pittsburgh to atlanta on monday afternoon,62,10,5.3,0,0,35,show I flight from pittsburgh to atlanta on monday afternoon,10,5.1,0,0,0,1
 what is the cost of flight dl 106 from philadelphia to boston,atis_airfare,atis,what is the cost of flight dl from philadelphia to boston,57,11,4.2727272727272725,0,0,26,what be the cost of flight dl 106 from philadelphia to boston,12,4.166666666666667,0,0,1,1
 please give me the flight times the morning on united airlines for september twentieth from philadelphia to san francisco,atis_flight_time,atis,please give me the flight times the morning on united airlines for september twentieth from philadelphia to san francisco,121,19,5.421052631578948,0,0,38,please give I the flight time the morning on united airlines for september twentieth from philadelphia to san francisco,19,5.315789473684211,0,0,0,1
 what flights are there from newark to tampa,atis_flight,atis,what flights are there from newark to tampa,43,8,4.5,0,0,35,what flight be there from newark to tampa,8,4.25,0,0,1,1
 show me the flights arriving at love field,atis_flight,atis,show me the flights arriving at love field,42,8,4.375,0,0,35,show I the flight arrive at love field,8,3.875,0,0,0,1
 what are the flights from boston to washington on october fifteenth 1991,atis_flight,atis,what are the flights from boston to washington on october fifteenth,67,11,5.181818181818182,0,0,35,what be the flight from boston to washington on october fifteenth 1991,12,4.916666666666667,0,0,1,1
 boston to denver monday,atis_flight,atis,boston to denver monday,23,4,5.0,0,0,35,boston to denver monday,4,5.0,0,0,0,1
 yes i need a flight from denver to pittsburgh on july seventh,atis_flight,atis,yes i need a flight from denver to pittsburgh on july seventh,61,12,4.166666666666667,0,0,35,yes I need a flight from denver to pittsburgh on july seventh,12,4.166666666666667,0,0,0,1
 show me flights from all airports to love field,atis_flight,atis,show me flights from all airports to love field,47,9,4.333333333333333,0,0,35,show I flight from all airport to love field,9,4.0,0,0,0,1
 flights from cincinnati to dallas departing after 718 am,atis_flight,atis,flights from cincinnati to dallas departing after am,52,8,5.625,0,0,35,flight from cincinnati to dallas depart after 718 am,9,4.888888888888889,0,0,0,1
 find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver,atis_flight,atis,find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver,112,18,5.277777777777778,0,0,35,find a transcontinental flight on american airline from boston to san francisco that make a stopover in denver,18,5.166666666666667,0,0,0,1
 show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,atis_flight,atis,show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,89,14,5.428571428571429,0,0,35,show I the flight from pittsburgh to baltimore arrive in baltimore on june fourteenth,14,5.142857142857143,0,0,0,1
 please give me the united airlines flights from denver to baltimore that are the first class flights please,atis_flight,atis,please give me the united airlines flights from denver to baltimore that are the first class flights please,107,18,5.0,0,0,35,please give I the united airlines flight from denver to baltimore that be the first class flight please,18,4.777777777777778,0,0,0,1
 am flights from dallas to san francisco,atis_flight,atis,am flights from dallas to san francisco,39,7,4.714285714285714,0,0,35,be flight from dallas to san francisco,7,4.571428571428571,0,0,0,1
 i'd like to know the earliest flight from boston to san francisco,atis_flight,atis,id like to know the earliest flight from boston to san francisco,64,12,4.416666666666667,0,0,35,I d like to know the early flight from boston to san francisco,13,3.8461538461538463,0,0,0,1
 show all flights and fares from pittsburgh to san francisco,atis_flight#atis_airfare,atis,show all flights and fares from pittsburgh to san francisco,59,10,5.0,0,0,36,show all flight and fare from pittsburgh to san francisco,10,4.8,0,0,0,1
 what cities does continental service,atis_city,atis,what cities does continental service,36,5,6.4,0,0,33,what city do continental service,5,5.6,0,0,1,1
 please show me united nonstop flights between boston and san francisco departing around 5 in the evening,atis_flight,atis,please show me united nonstop flights between boston and san francisco departing around in the evening,102,16,5.4375,0,0,35,please show I united nonstop flight between boston and san francisco depart around 5 in the evening,17,4.882352941176471,0,0,0,1
 show me all first class fares from new york to miami leaving on a tuesday,atis_airfare,atis,show me all first class fares from new york to miami leaving on a tuesday,73,15,3.933333333333333,0,0,26,show I all first class fare from new york to miami leave on a tuesday,15,3.6666666666666665,0,0,0,1
 show me the flights from boston to denver,atis_flight,atis,show me the flights from boston to denver,41,8,4.25,0,0,35,show I the flight from boston to denver,8,4.0,0,0,0,1
 please find the cheapest fare from boston to san francisco,atis_airfare,atis,please find the cheapest fare from boston to san francisco,58,10,4.9,0,0,26,please find the cheap fare from boston to san francisco,10,4.6,0,0,0,1
 what flights are there from baltimore to newark,atis_flight,atis,what flights are there from baltimore to newark,47,8,5.0,0,0,35,what flight be there from baltimore to newark,8,4.75,0,0,1,1
 dl 296 denver to philadelphia what is the fare,atis_airfare,atis,dl denver to philadelphia what is the fare,42,8,4.375,0,0,26,dl 296 denver to philadelphia what be the fare,9,4.222222222222222,0,0,0,1
 list the american airlines flights from dallas to san francisco,atis_flight,atis,list the american airlines flights from dallas to san francisco,63,10,5.4,0,0,35,list the american airlines flight from dallas to san francisco,10,5.3,0,0,0,1
 what are the flights dallas to boston on monday morning,atis_flight,atis,what are the flights dallas to boston on monday morning,55,10,4.6,0,0,35,what be the flight dallas to boston on monday morning,10,4.4,0,0,1,1
 show me flights from pittsburgh to los angeles thursday evening,atis_flight,atis,show me flights from pittsburgh to los angeles thursday evening,63,10,5.4,0,0,35,show I flight from pittsburgh to los angeles thursday evening,10,5.2,0,0,0,1
 show me the flights from washington dc to san francisco with a stopover in denver,atis_flight,atis,show me the flights from washington dc to san francisco with a stopover in denver,81,15,4.466666666666667,0,0,35,show I the flight from washington dc to san francisco with a stopover in denver,15,4.333333333333333,0,0,0,1
 what is the earliest united airlines flight flying from denver to baltimore and arriving on july fourth,atis_flight,atis,what is the earliest united airlines flight flying from denver to baltimore and arriving on july fourth,103,17,5.117647058823529,0,0,35,what be the early united airlines flight fly from denver to baltimore and arrive on july fourth,17,4.647058823529412,0,0,1,1
 find travel arrangements for a one way flight from san francisco to dallas,atis_flight,atis,find travel arrangements for a one way flight from san francisco to dallas,74,13,4.769230769230769,0,0,35,find travel arrangement for a one way flight from san francisco to dallas,13,4.6923076923076925,0,0,0,1
 i need a flight from pittsburgh to boston on wednesday the fourteenth,atis_flight,atis,i need a flight from pittsburgh to boston on wednesday the fourteenth,69,12,4.833333333333333,0,0,35,I need a flight from pittsburgh to boston on wednesday the fourteenth,12,4.833333333333333,0,0,0,1
 i would like to fly from denver to pittsburgh on united airlines,atis_flight,atis,i would like to fly from denver to pittsburgh on united airlines,64,12,4.416666666666667,0,0,35,I would like to fly from denver to pittsburgh on united airlines,12,4.416666666666667,0,0,0,1
 earliest flight from atlanta to philadelphia,atis_flight,atis,earliest flight from atlanta to philadelphia,44,6,6.5,0,0,35,early flight from atlanta to philadelphia,6,6.0,0,0,0,1
 what are the delta flights from dallas to boston,atis_flight,atis,what are the delta flights from dallas to boston,48,9,4.444444444444445,0,0,35,what be the delta flight from dallas to boston,9,4.222222222222222,0,0,1,1
 show me the cheapest flights from dallas to baltimore,atis_flight,atis,show me the cheapest flights from dallas to baltimore,53,9,5.0,0,0,35,show I the cheap flight from dallas to baltimore,9,4.444444444444445,0,0,0,1
 in denver what kind of ground transportation is there from the airport to downtown,atis_ground_service,atis,in denver what kind of ground transportation is there from the airport to downtown,82,14,4.928571428571429,0,0,40,in denver what kind of ground transportation be there from the airport to downtown,14,4.928571428571429,0,0,1,1
 what are your flights from denver to baltimore,atis_flight,atis,what are your flights from denver to baltimore,46,8,4.875,0,0,35,what be your flight from denver to baltimore,8,4.625,0,0,1,1
 list all the flights that depart from general mitchell international,atis_flight,atis,list all the flights that depart from general mitchell international,68,10,5.9,0,0,35,list all the flight that depart from general mitchell international,10,5.8,0,0,0,1
 what are the costs of flights from dallas to boston tomorrow,atis_airfare,atis,what are the costs of flights from dallas to boston tomorrow,60,11,4.545454545454546,0,0,26,what be the cost of flight from dallas to boston tomorrow,11,4.2727272727272725,0,0,1,1
 what does yn stand for,atis_abbreviation,atis,what does yn stand for,22,5,3.6,0,0,23,what do yn stand for,5,3.2,0,0,1,1
 can i go from boston to san francisco with a stopover in denver,atis_flight,atis,can i go from boston to san francisco with a stopover in denver,63,13,3.923076923076923,0,0,35,can I go from boston to san francisco with a stopover in denver,13,3.923076923076923,0,0,0,1
 list all flights from boston to san francisco with more than 3 stops,atis_flight,atis,list all flights from boston to san francisco with more than stops,66,12,4.583333333333333,0,0,35,list all flight from boston to san francisco with more than 3 stop,13,4.153846153846154,0,0,0,1
 what is airline dl,atis_airline,atis,what is airline dl,18,4,3.75,0,0,28,what be airline dl,4,3.75,0,0,1,1
 yes i'm looking for a flight between oakland and boston with a stopover in dallas fort worth do you have one of those,atis_flight,atis,yes im looking for a flight between oakland and boston with a stopover in dallas fort worth do you have one of those,116,23,4.086956521739131,0,0,35,yes I m look for a flight between oakland and boston with a stopover in dallas fort worth do you have one of those,24,3.7916666666666665,0,0,0,1
 show all flights on united airlines from san francisco to denver to washington dc,atis_flight,atis,show all flights on united airlines from san francisco to denver to washington dc,81,14,4.857142857142857,0,0,35,show all flight on united airlines from san francisco to denver to washington dc,14,4.785714285714286,0,0,0,1
 show flights between boston and philadelphia,atis_flight,atis,show flights between boston and philadelphia,44,6,6.5,0,0,35,show flight between boston and philadelphia,6,6.333333333333333,0,0,0,1
 i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,atis_flight,atis,i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,111,21,4.333333333333333,0,0,35,I need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,21,4.333333333333333,0,0,0,1
 i'd like to see the fare code again qx,atis_abbreviation,atis,id like to see the fare code again qx,37,9,3.2222222222222223,0,0,23,I d like to see the fare code again qx,10,2.9,0,0,0,1
 show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,atis_flight,atis,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after oclock pm,106,19,4.631578947368421,0,0,35,show I all flight from boston to pittsburgh on wednesday of next week which leave boston after 2 o clock pm,21,4.142857142857143,0,0,0,1
 flights from kansas city to cleveland on wednesday,atis_flight,atis,flights from kansas city to cleveland on wednesday,50,8,5.375,0,0,35,flight from kansas city to cleveland on wednesday,8,5.25,0,0,0,1
 first class fares from dallas to baltimore please,atis_airfare,atis,first class fares from dallas to baltimore please,49,8,5.25,0,0,26,first class fare from dallas to baltimore please,8,5.125,0,0,0,1
 what does ord mean,atis_abbreviation,atis,what does ord mean,18,4,3.75,0,0,23,what do ord mean,4,3.25,0,0,1,1
 flights from boston to pittsburgh,atis_flight,atis,flights from boston to pittsburgh,33,5,5.8,0,0,35,flight from boston to pittsburgh,5,5.6,0,0,0,1
 flight from dc to salt lake city,atis_flight,atis,flight from dc to salt lake city,32,7,3.7142857142857135,0,0,35,flight from dc to salt lake city,7,3.7142857142857144,0,0,0,1
 how many stops on continental 1765 from boston to san francisco,atis_quantity,atis,how many stops on continental from boston to san francisco,58,10,4.9,0,0,43,how many stop on continental 1765 from boston to san francisco,11,4.7272727272727275,0,0,1,1
 can you list all flights from toronto to san diego,atis_flight,atis,can you list all flights from toronto to san diego,50,10,4.1,0,0,35,can you list all flight from toronto to san diego,10,4.0,0,0,0,1
 i need to take ten people from phoenix to san diego please give me the flights during week days,atis_flight,atis,i need to take ten people from phoenix to san diego please give me the flights during week days,95,19,4.052631578947368,0,0,35,I need to take ten people from phoenix to san diego please give I the flight during week day,19,3.8947368421052633,0,0,0,1
 i need a flight from atlanta to philadelphia and i'm looking for the cheapest fare,atis_flight,atis,i need a flight from atlanta to philadelphia and im looking for the cheapest fare,81,15,4.466666666666667,0,0,35,I need a flight from atlanta to philadelphia and I m look for the cheap fare,16,3.8125,0,0,0,1
 what flights are there arriving in chicago after 9 pm on continental,atis_flight,atis,what flights are there arriving in chicago after pm on continental,66,11,5.090909090909091,0,0,35,what flight be there arrive in chicago after 9 pm on continental,12,4.416666666666667,0,0,1,1
 is breakfast served on flight ua 343 from boston to denver coach class,atis_flight,atis,is breakfast served on flight ua from boston to denver coach class,66,12,4.583333333333333,0,0,35,be breakfast serve on flight ua 343 from boston to denver coach class,13,4.384615384615385,0,0,0,1
 i'd like to go from boston to pittsburgh to find the cheapest flight,atis_flight,atis,id like to go from boston to pittsburgh to find the cheapest flight,67,13,4.230769230769231,0,0,35,I d like to go from boston to pittsburgh to find the cheap flight,14,3.7142857142857144,0,0,0,1
 when is the earliest flight from boston to denver,atis_flight,atis,when is the earliest flight from boston to denver,49,9,4.555555555555555,0,0,35,when be the early flight from boston to denver,9,4.222222222222222,0,0,1,1
 dallas to oakland monday,atis_flight,atis,dallas to oakland monday,24,4,5.25,0,0,35,dallas to oakland monday,4,5.25,0,0,0,1
 what is the earliest flight in the morning from boston to pittsburgh,atis_flight,atis,what is the earliest flight in the morning from boston to pittsburgh,68,12,4.75,0,0,35,what be the early flight in the morning from boston to pittsburgh,12,4.5,0,0,1,1
